157.55.39.253 - - [21/Oct/2015:12:09:00 -0700] "GET /theme.css HTTP/1.1" 200 3381 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "birminghambackandjointcare.com"
157.55.39.253 - - [21/Oct/2015:12:41:48 -0700] "GET /robots.txt HTTP/1.1" 200 101 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "birminghambackandjointcare.com"
157.55.39.253 - - [21/Oct/2015:12:44:06 -0700] "GET /about.html HTTP/1.1" 200 6562 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "birminghambackandjointcare.com"
54.193.12.103 - - [21/Oct/2015:13:19:49 -0700] "GET /images/gift-cards.jpg HTTP/1.1" 200 12930 "http://www.birminghambackandjointcare.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 SlimerJS/0.9.5" "www.birminghambackandjointcare.com"
54.193.12.103 - - [21/Oct/2015:13:19:49 -0700] "GET /images/chiropractic.jpg HTTP/1.1" 200 12951 "http://www.birminghambackandjointcare.com/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 SlimerJS/0.9.5" "www.birminghambackandjointcare.com"
54.193.12.103 - - [21/Oct/2015:13:19:50 -0700] "GET /images/parkway_east_chiropractic_03.jpg HTTP/1.1" 200 16458 "http://www.birminghambackandjointcare.com/theme.css" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 SlimerJS/0.9.5" "www.birminghambackandjointcare.com"
54.193.12.103 - - [21/Oct/2015:13:19:50 -0700] "GET /images/parkway_east_chiropractic_01.jpg HTTP/1.1" 200 479 "http://www.birminghambackandjointcare.com/theme.css" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 SlimerJS/0.9.5" "www.birminghambackandjointcare.com"
54.193.12.103 - - [21/Oct/2015:13:19:50 -0700] "GET /images/parkway_east_chiropractic_07.jpg HTTP/1.1" 200 582 "http://www.birminghambackandjointcare.com/theme.css" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 SlimerJS/0.9.5" "www.birminghambackandjointcare.com"
177.91.42.164 - - [21/Oct/2015:15:00:51 -0700] "GET /theme.css HTTP/1.1" 304 - "http://birminghambackandjointcare.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "birminghambackandjointcare.com"
177.91.42.164 - - [21/Oct/2015:15:00:51 -0700] "GET /images/gift-cards.jpg HTTP/1.1" 200 12930 "http://birminghambackandjointcare.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "birminghambackandjointcare.com"
177.91.42.164 - - [21/Oct/2015:15:00:51 -0700] "GET /images/chiropractic.jpg HTTP/1.1" 200 12951 "http://birminghambackandjointcare.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "birminghambackandjointcare.com"
177.91.42.164 - - [21/Oct/2015:15:00:51 -0700] "GET /images/parkway_east_chiropractic_01.jpg HTTP/1.1" 200 479 "http://birminghambackandjointcare.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "birminghambackandjointcare.com"
177.91.42.164 - - [21/Oct/2015:15:00:52 -0700] "GET /images/parkway_east_chiropractic_07.jpg HTTP/1.1" 200 582 "http://birminghambackandjointcare.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "birminghambackandjointcare.com"
144.76.8.132 - - [21/Oct/2015:15:24:46 -0700] "GET /about.html HTTP/1.1" 200 6562 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "birminghambackandjointcare.com"
144.76.8.132 - - [21/Oct/2015:15:24:49 -0700] "GET /index-2.html HTTP/1.1" 200 8793 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "birminghambackandjointcare.com"
